linux-firmware-whence 20240809.59460076-1
lld 18.1.8-1
llvm 18.1.8-4
llvm-libs 18.1.8-4
lm_sensors 1:3.6.0.r41.g31d1f125-3
lmdb 0.9.33-1
lsb-release 2.0.r53.a86f885-2
lshw B.02.20-1
lsof 4.99.3-2
lua 5.4.7-1
lua51 5.1.5-12
lua51-lpeg 1.1.0-2
luajit 2.1.1723675123-1
lv2 1.18.10-1
lvm2 2.03.26-1
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.19-3
mailcap 2.1.54-2
make 4.4.1-2
man-db 2.13.0-1
man-pages 6.9.1-1
mangohud 0.7.2-1
mathjax 3.2.2-2
mbedtls 3.6.0-1
mbedtls2 2.28.8-3
md4c 0.5.2-1
mdadm 4.3-2
mechvibes 2.3.4-1
media-player-info 26-1
mesa 1:24.2.1-1
meson 1.5.1-1
mimalloc 2.1.7-1
minizip 1:1.3.1-2
minizip-ng 4.0.7-1
mkinitcpio 39.2-2
mkinitcpio-busybox 1.36.1-1
mlt 7.26.0-1
mobile-broadband-provider-info 20240407-1
mold 2.33.0-1
mono 6.12.0.206-1
mono-tools 4.2-4
mpdecimal 4.0.0-2
mpfr 4.2.1-4
mpg123 1.32.7-1
mpv 1:0.38.0-7
msgpack-c 5.0.0-2
mtdev 1.1.7-1
mujs 1.3.5-1
nano 8.1-1
nasm 2.16.03-1
ncurses 6.5-3
neofetch 7.1.0-2
neovim 0.10.1-3
neovim-remote 2.5.1-1
netstandard-targeting-pack 8.0.7.sdk107-1
nettle 3.10-1
network-manager-applet 1.36.0-1
networkmanager 1.48.10-1
nftables 1:1.1.0-2
ninja 1.12.1-1
nm-connection-editor 1.36.0-1
nnn 5.0-1
node-gyp 10.2.0-1
nodejs-lts-hydrogen 18.20.4-1
nodejs-nopt 7.2.0-2
notepadqq 2.0.0beta-2
noto-fonts-emoji 1:2.042-1
npm 10.8.3-1
npth 1.7-1
nspr 4.35-3
nss 3.104-1
ntfs-3g 2022.10.3-1
nuclear-player-bin-debug 0.6.32-3
numactl 2.0.18-1
nvm 0.40.1-1
nwg-look 0.2.7-1
obs-studio 30.2.1-1
obsidian 1.6.7-1
ocl-icd 2.3.2-2
oh-my-zsh-git r7295.5b37e218e-1
onetbb 2021.13.0-1
oniguruma 6.9.9-1
openal 1.23.1-2
opencolorio 2.3.2-3
opencore-amr 0.1.6-2
openexr 3.2.4-1
openjpeg2 2.5.2-1
openmpi 5.0.5-1
openoffice-bin 4.1.15-1
openpmix 5.0.3-1
openssh 9.8p1-1
openssl 3.3.1-1
openssl-1.1 1.1.1.w-2
openucx 1.17.0-1
optipng 0.7.8-1
opus 1.5.2-1
opusfile 0.12-4
orc 0.4.39-1
os-prober 1.81-2
osslsigncode 2.9-1
osslsigncode-debug 2.9-1
ostree 2024.7-1
otf-commit-mono 1.143-2
